Pertanyaan,Opsi A,Opsi B,Opsi C,Opsi D,Jawaban
Perintah untuk menampilkan teks ke layar di Python adalah?,echo,printf,print,cout,C
Manakah contoh password yang paling aman dan kuat?,admin123,tanggal_lahir,P@ssw0rd_Kuat!,12345678,C
Alamat unik setiap perangkat dalam jaringan disebut?,IP Address,Mac Address,Home Address,Email Address,A
Jika data = [10, 20, 30] berapakah hasil data[1]?,10,20,30,Error,B
Otak dari komputer yang memproses instruksi adalah?,RAM,Harddisk,CPU,VGA,C
Teknik penipuan online menyamar jadi institusi resmi disebut?,Hacking,Phishing,Spamming,Debugging,B
Keyword untuk melakukan perulangan di Python adalah?,if,def,import,for,D
Jaringan komputer dalam area kecil (rumah/kantor) disebut?,WAN,MAN,LAN,PAN,C
Sistem bilangan komputer yang hanya terdiri dari angka 0 dan 1 disebut?,Desimal,Oktaf,Biner,Hexadesimal,C
Ekstensi file kode program Python adalah?,.py,.exe,.java,.txt,A
